2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Major Occupation Group
        Oral and maxillofacial surgeons,29-1022,Line item,4.8,5.0,0.0,0.0,0.2,3.3,13.1,0.1,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Orthodontists,29-1023,Line item,7.4,7.7,0.0,0.0,0.3,3.7,13.3,0.2,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Prosthodontists,29-1024,Line item,0.7,0.7,0.0,0.0,0.0,3.5,13.3,0.0,234000.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
"        Dentists, all other specialists",29-1029,Line item,6.7,6.9,0.0,0.0,0.2,2.3,8.4,0.2,227690.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
      Dietitians and nutritionists,29-1031,Line item,81.3,87.3,0.0,0.1,6.0,7.4,5.0,6.1,69680.0,Bachelor's degree,,Internship/residency,Healthcare Practitioners and Technical
      Optometrists,29-1041,Line item,49.3,53.6,0.0,0.0,4.3,8.7,15.6,2.2,131860.0,Doctoral or professional degree,,,Healthcare Practitioners and Technical
      Pharmacists,29-1051,Line item,337.7,355.9,0.2,0.2,18.3,5.4,0.3,14.2,136030.0,Doctoral or professional degree,,,Healthcare Practitioners and Technical
      Physician assistants,29-1071,Line item,153.4,197.1,0.1,0.1,43.7,28.5,2.0,12.9,130020.0,Master's degree,,,Healthcare Practitioners and Technical
      Podiatrists,29-1081,Line item,9.7,9.8,0.0,0.0,0.1,1.4,,0.3,141650.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Occupational therapists,29-1122,Line item,150.5,167.3,0.1,0.1,16.8,11.1,0.7,9.8,96370.0,Master's degree,,,Healthcare Practitioners and Technical
        Physical therapists,29-1123,Line item,259.2,296.0,0.2,0.2,36.8,14.2,4.1,13.6,99710.0,Doctoral or professional degree,,,Healthcare Practitioners and Technical
        Radiation therapists,29-1124,Line item,17.2,17.7,0.0,0.0,0.5,3.1,,0.8,98300.0,Associate's degree,,,Healthcare Practitioners and Technical
        Recreational therapists,29-1125,Line item,16.6,17.3,0.0,0.0,0.7,4.3,,1.4,57120.0,Bachelor's degree,,,Healthcare Practitioners and Technical
        Respiratory therapists,29-1126,Line item,133.9,151.4,0.1,0.1,17.5,13.1,,8.2,77960.0,Associate's degree,,,Healthcare Practitioners and Technical
        Speech-language pathologists,29-1127,Line item,180.8,214.1,0.1,0.1,33.3,18.4,3.2,13.7,89290.0,Master's degree,,Internship/residency,Healthcare Practitioners and Technical
        Exercise physiologists,29-1128,Line item,21.5,23.7,0.0,0.0,2.2,10.4,61.3,1.6,54860.0,Bachelor's degree,,,Healthcare Practitioners and Technical
"        Therapists, all other",29-1129,Line item,43.2,48.3,0.0,0.0,5.1,11.8,60.5,3.3,63650.0,Bachelor's degree,,,Healthcare Practitioners and Technical
      Veterinarians,29-1131,Line item,88.2,105.0,0.1,0.1,16.8,19.1,10.0,4.3,119100.0,Doctoral or professional degree,,,Healthcare Practitioners and Technical
      Registered nurses,29-1141,Line item,3300.1,3497.3,2.0,2.0,197.2,6.0,0.5,194.5,86070.0,Bachelor's degree,,,Healthcare Practitioners and Technical
      Nurse anesthetists,29-1151,Line item,49.9,55.1,0.0,0.0,5.2,10.4,1.3,2.4,212650.0,Master's degree,,,Healthcare Practitioners and Technical
      Nurse midwives,29-1161,Line item,7.2,7.7,0.0,0.0,0.5,7.1,1.1,0.4,129650.0,Master's degree,,,Healthcare Practitioners and Technical
      Nurse practitioners,29-1171,Line item,292.5,427.9,0.2,0.2,135.5,46.3,1.1,29.0,126260.0,Master's degree,,,Healthcare Practitioners and Technical
      Audiologists,29-1181,Line item,14.4,16.0,0.0,0.0,1.6,10.9,1.5,0.8,87740.0,Doctoral or professional degree,,,Healthcare Practitioners and Technical
        Anesthesiologists,29-1211,Line item,36.1,37.6,0.0,0.0,1.5,4.0,4.3,1.0,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Cardiologists,29-1212,Line item,16.4,17.2,0.0,0.0,0.8,5.0,4.3,0.5,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Dermatologists,29-1213,Line item,13.0,13.9,0.0,0.0,0.9,7.1,4.5,0.4,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Emergency medicine physicians,29-1214,Line item,37.6,39.0,0.0,0.0,1.3,3.5,4.2,1.0,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Family medicine physicians,29-1215,Line item,120.3,126.1,0.1,0.1,5.7,4.8,4.1,3.5,224640.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        General internal medicine physicians,29-1216,Line item,73.8,76.3,0.0,0.0,2.5,3.4,4.0,2.0,223310.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Neurologists,29-1217,Line item,10.1,10.8,0.0,0.0,0.7,6.8,4.3,0.3,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Obstetricians and gynecologists,29-1218,Line item,21.3,22.0,0.0,0.0,0.7,3.3,4.3,0.6,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
"        Pediatricians, general",29-1221,Line item,37.7,38.5,0.0,0.0,0.8,2.1,4.2,1.0,198690.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
"        Physicians, pathologists",29-1222,Line item,11.8,12.5,0.0,0.0,0.6,5.5,4.0,0.4,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Psychiatrists,29-1223,Line item,27.0,29.1,0.0,0.0,2.1,7.6,3.5,0.9,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Radiologists,29-1224,Line item,34.3,35.6,0.0,0.0,1.2,3.6,4.3,1.0,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
"        Physicians, all other",29-1229,Line item,337.0,350.1,0.2,0.2,13.1,3.9,3.6,9.5,236000.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
"        Ophthalmologists, except pediatric",29-1241,Line item,12.4,12.9,0.0,0.0,0.6,4.5,4.1,0.3,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
"        Orthopedic surgeons, except pediatric",29-1242,Line item,16.0,16.6,0.0,0.0,0.7,4.2,4.0,0.4,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Pediatric surgeons,29-1243,Line item,1.3,1.3,0.0,0.0,0.0,2.0,4.0,0.0,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
"        Surgeons, all other",29-1249,Line item,28.4,29.6,0.0,0.0,1.2,4.3,3.8,0.7,239200.0,Doctoral or professional degree,,Internship/residency,Healthcare Practitioners and Technical
        Acupuncturists,29-1291,Line item,22.1,23.3,0.0,0.0,1.2,5.5,56.7,1.3,78220.0,Master's degree,,,Healthcare Practitioners and Technical
        Dental hygienists,29-1292,Line item,214.1,233.7,0.1,0.1,19.6,9.2,0.6,16.4,87530.0,Associate's degree,,,Healthcare Practitioners and Technical
"        Healthcare diagnosing or treating practitioners, all other",29-1299,Line item,40.4,41.5,0.0,0.0,1.0,2.6,17.6,2.3,107990.0,Master's degree,,,Healthcare Practitioners and Technical
      Clinical laboratory technologists and technicians,29-2010,Line item,344.2,362.5,0.2,0.2,18.2,5.3,,24.2,60780.0,Bachelor's degree,,,Healthcare Practitioners and Technical
        Cardiovascular technologists and technicians,29-2031,Line item,58.4,60.9,0.0,0.0,2.4,4.2,2.1,3.7,66170.0,Associate's degree,,,Healthcare Practitioners and Technical
        Diagnostic medical sonographers,29-2032,Line item,84.9,97.7,0.1,0.1,12.8,15.1,0.2,5.7,84470.0,Associate's degree,,,Healthcare Practitioners and Technical
        Nuclear medicine technologists,29-2033,Line item,17.8,17.6,0.0,0.0,-0.2,-1.3,4.5,0.8,92500.0,Associate's degree,,,Healthcare Practitioners and Technical
        Radiologic technologists and technicians,29-2034,Line item,227.8,241.0,0.1,0.1,13.1,5.8,0.4,13.3,73410.0,Associate's degree,,,Healthcare Practitioners and Technical
        Magnetic resonance imaging technologists,29-2035,Line item,43.4,47.0,0.0,0.0,3.6,8.4,2.6,2.7,83740.0,Associate's degree,Less than 5 years,,Healthcare Practitioners and Technical
        Medical dosimetrists,29-2036,Line item,4.2,4.5,0.0,0.0,0.2,5.4,4.5,0.2,132880.0,Bachelor's degree,,,Healthcare Practitioners and Technical
        Emergency medical technicians,29-2042,Line item,169.7,180.0,0.1,0.1,10.3,6.1,0.2,13.9,38930.0,Postsecondary nondegree award,,,Healthcare Practitioners and Technical
        Paramedics,29-2043,Line item,100.6,106.5,0.1,0.1,5.9,5.9,0.2,5.3,53180.0,Postsecondary nondegree award,Less than 5 years,,Healthcare Practitioners and Technical
        Dietetic technicians,29-2051,Line item,25.0,26.1,0.0,0.0,1.1,4.3,,3.2,36520.0,Associate's degree,,,Healthcare Practitioners and Technical
        Pharmacy technicians,29-2052,Line item,463.9,497.2,0.3,0.3,33.3,7.2,,47.4,40300.0,High school diploma or equivalent,,Moderate-term on-the-job training,Healthcare Practitioners and Technical
        Psychiatric technicians,29-2053,Line item,124.6,145.8,0.1,0.1,21.3,17.1,1.1,13.2,39700.0,Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training,Healthcare Practitioners and Technical
        Surgical technologists,29-2055,Line item,112.8,119.3,0.1,0.1,6.5,5.8,,7.2,60610.0,Postsecondary nondegree award,,,Healthcare Practitioners and Technical
        Veterinary technologists and technicians,29-2056,Line item,125.7,150.0,0.1,0.1,24.3,19.3,0.2,15.4,43740.0,Associate's degree,,,Healthcare Practitioners and Technical
        Ophthalmic medical technicians,29-2057,Line item,74.8,85.3,0.0,0.0,10.5,14.1,,10.6,41780.0,Postsecondary nondegree award,,,Healthcare Practitioners and Technical
      Licensed practical and licensed vocational nurses,29-2061,Line item,657.8,674.7,0.4,0.4,16.9,2.6,0.7,54.0,59730.0,Postsecondary nondegree award,,,Healthcare Practitioners and Technical
      Medical records specialists,29-2072,Line item,191.5,208.2,0.1,0.1,16.7,8.7,0.3,15.0,48780.0,Postsecondary nondegree award,,,Healthcare Practitioners and Technical
"      Opticians, dispensing",29-2081,Line item,77.3,79.5,0.0,0.0,2.3,2.9,0.7,7.4,44170.0,High school diploma or equivalent,,Long-term on-the-job training,Healthcare Practitioners and Technical
        Orthotists and prosthetists,29-2091,Line item,9.1,10.4,0.0,0.0,1.4,15.1,1.6,0.8,78100.0,Master's degree,,Internship/residency,Healthcare Practitioners and Technical
        Hearing aid specialists,29-2092,Line item,10.5,12.0,0.0,0.0,1.6,14.9,1.8,1.0,58670.0,High school diploma or equivalent,,Moderate-term on-the-job training,Healthcare Practitioners and Technical
"        Health technologists and technicians, all other",29-2099,Line item,177.9,190.4,0.1,0.1,12.5,7.0,1.7,14.3,47470.0,Postsecondary nondegree award,,,Healthcare Practitioners and Technical
      Health information technologists and medical registrars,29-9021,Line item,39.1,45.5,0.0,0.0,6.4,16.3,9.3,3.2,62990.0,Associate's degree,,,Healthcare Practitioners and Technical
        Athletic trainers,29-9091,Line item,34.3,38.7,0.0,0.0,4.3,12.7,7.4,2.7,57930.0,Master's degree,,,Healthcare Practitioners and Technical
        Genetic counselors,29-9092,Line item,3.5,4.1,0.0,0.0,0.6,16.1,9.6,0.3,95770.0,Master's degree,,,Healthcare Practitioners and Technical
        Surgical assistants,29-9093,Line item,21.3,22.7,0.0,0.0,1.4,6.7,10.1,1.5,59160.0,Postsecondary nondegree award,,,Healthcare Practitioners and Technical
"        Healthcare practitioners and technical workers, all other",29-9099,Line item,41.9,44.3,0.0,0.0,2.4,5.8,7.6,2.9,63630.0,Postsecondary nondegree award,,,Healthcare Practitioners and Technical
      Home health and personal care aides,31-1120,Line item,3961.9,4782.4,2.4,2.7,820.5,20.7,2.5,718.9,33530.0,High school diploma or equivalent,,Short-term on-the-job training,Healthcare Support
        Nursing assistants,31-1131,Line item,1419.4,1481.8,0.8,0.8,62.4,4.4,1.2,208.6,38200.0,Postsecondary nondegree award,,,Healthcare Support
        Orderlies,31-1132,Line item,50.0,52.2,0.0,0.0,2.3,4.5,,7.6,36830.0,High school diploma or equivalent,,Short-term on-the-job training,Healthcare Support
        Psychiatric aides,31-1133,Line item,36.0,36.3,0.0,0.0,0.3,0.8,3.3,5.2,39160.0,High school diploma or equivalent,,Short-term on-the-job training,Healthcare Support
        Occupational therapy assistants,31-2011,Line item,47.5,58.1,0.0,0.0,10.6,22.3,,7.2,67010.0,Associate's degree,,,Healthcare Support
        Occupational therapy aides,31-2012,Line item,4.6,4.8,0.0,0.0,0.2,3.7,,0.6,36970.0,High school diploma or equivalent,,Short-term on-the-job training,Healthcare Support
        Physical therapist assistants,31-2021,Line item,108.5,136.0,0.1,0.1,27.5,25.4,1.3,20.8,64080.0,Associate's degree,,,Healthcare Support
        Physical therapist aides,31-2022,Line item,44.3,45.6,0.0,0.0,1.3,2.9,1.3,6.8,33520.0,High school diploma or equivalent,,Short-term on-the-job training,Healthcare Support
      Massage therapists,31-9011,Line item,147.1,173.2,0.1,0.1,26.0,17.7,36.5,22.8,55310.0,Postsecondary nondegree award,,,Healthcare Support
        Dental assistants,31-9091,Line item,376.5,408.0,0.2,0.2,31.5,8.4,0.8,54.9,46540.0,Postsecondary nondegree award,,,Healthcare Support
        Medical assistants,31-9092,Line item,783.9,901.9,0.5,0.5,118.0,15.0,0.3,119.8,42000.0,Postsecondary nondegree award,,,Healthcare Support
        Medical equipment preparers,31-9093,Line item,70.7,74.7,0.0,0.0,4.0,5.7,3.3,10.0,45280.0,High school diploma or equivalent,,Moderate-term on-the-job training,Healthcare Support
        Medical transcriptionists,31-9094,Line item,54.5,51.9,0.0,0.0,-2.6,-4.7,2.8,9.6,37060.0,Postsecondary nondegree award,,,Healthcare Support
        Pharmacy aides,31-9095,Line item,44.0,44.4,0.0,0.0,0.4,0.9,,7.7,36200.0,High school diploma or equivalent,,Short-term on-the-job training,Healthcare Support
        Veterinary assistants and laboratory animal caretakers,31-9096,Line item,118.2,141.1,0.1,0.1,22.9,19.4,,25.8,36440.0,High school diploma or equivalent,,Short-term on-the-job training,Healthcare Support
        Phlebotomists,31-9097,Line item,141.2,152.2,0.1,0.1,11.0,7.8,1.4,19.6,41810.0,Postsecondary nondegree award,,,Healthcare Support
"        Healthcare support workers, all other",31-9099,Line item,108.5,114.6,0.1,0.1,6.1,5.6,2.4,15.3,44490.0,High school diploma or equivalent,,,Healthcare Support
        First-line supervisors of correctional officers,33-1011,Line item,55.5,54.6,0.0,0.0,-0.9,-1.6,,4.4,70530.0,High school diploma or equivalent,Less than 5 years,,Protective Service
        First-line supervisors of police and detectives,33-1012,Line item,144.5,150.0,0.1,0.1,5.5,3.8,,10.0,101750.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Protective Service
      First-line supervisors of firefighting and prevention workers,33-1021,Line item,87.0,90.7,0.1,0.1,3.6,4.2,,5.8,86220.0,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training,Protective Service
        First-line supervisors of security workers,33-1091,Line item,67.8,70.3,0.0,0.0,2.5,3.7,1.8,7.1,54580.0,High school diploma or equivalent,Less than 5 years,,Protective Service
"        First-line supervisors of protective service workers, all other",33-1099,Line item,20.7,21.6,0.0,0.0,0.8,4.0,0.8,2.2,65050.0,High school diploma or equivalent,Less than 5 years,,Protective Service
      Firefighters,33-2011,Line item,326.8,340.5,0.2,0.2,13.7,4.2,,25.7,57120.0,Postsecondary nondegree award,,Long-term on-the-job training,Protective Service
        Fire inspectors and investigators,33-2021,Line item,14.9,15.5,0.0,0.0,0.7,4.5,,1.3,74160.0,Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training,Protective Service
        Forest fire inspectors and prevention specialists,33-2022,Line item,2.4,2.8,0.0,0.0,0.4,16.3,,0.2,54080.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Protective Service
        Bailiffs,33-3011,Line item,16.7,16.5,0.0,0.0,-0.2,-1.4,,1.9,53040.0,High school diploma or equivalent,,Moderate-term on-the-job training,Protective Service
        Correctional officers and jailers,33-3012,Line item,370.9,346.0,0.2,0.2,-24.8,-6.7,,29.1,53300.0,High school diploma or equivalent,,Moderate-term on-the-job training,Protective Service
      Detectives and criminal investigators,33-3021,Line item,113.4,116.0,0.1,0.1,2.6,2.3,,8.5,91100.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Protective Service
      Fish and game wardens,33-3031,Line item,6.8,6.5,0.0,0.0,-0.3,-5.0,,0.6,60380.0,Bachelor's degree,,Moderate-term on-the-job training,Protective Service
      Parking enforcement workers,33-3041,Line item,7.9,7.9,0.0,0.0,0.0,-0.4,,0.7,46840.0,High school diploma or equivalent,,Short-term on-the-job training,Protective Service
        Police and sheriff's patrol officers,33-3051,Line item,674.2,700.6,0.4,0.4,26.4,3.9,,53.8,72280.0,High school diploma or equivalent,,Moderate-term on-the-job training,Protective Service
        Transit and railroad police,33-3052,Line item,2.4,2.5,0.0,0.0,0.1,3.5,,0.2,72250.0,High school diploma or equivalent,,Moderate-term on-the-job training,Protective Service
      Animal control workers,33-9011,Line item,12.0,12.6,0.0,0.0,0.6,4.9,,1.3,43170.0,High school diploma or equivalent,,Moderate-term on-the-job training,Protective Service
      Private detectives and investigators,33-9021,Line item,38.8,40.7,0.0,0.0,1.9,5.0,9.9,3.6,49540.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Protective Service
        Gambling surveillance officers and gambling investigators,33-9031,Line item,11.0,11.3,0.0,0.0,0.3,2.6,,1.5,39210.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Protective Service
        Security guards,33-9032,Line item,1229.6,1256.3,0.7,0.7,26.6,2.2,0.2,161.0,37070.0,High school diploma or equivalent,,Short-term on-the-job training,Protective Service
        Crossing guards and flaggers,33-9091,Line item,93.0,97.2,0.1,0.1,4.2,4.5,,19.5,36370.0,No formal educational credential,,Short-term on-the-job training,Protective Service
"        Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,129.1,137.9,0.1,0.1,8.8,6.8,0.1,39.5,30380.0,No formal educational credential,,Short-term on-the-job training,Protective Service
        Transportation security screeners,33-9093,Line item,51.7,52.2,0.0,0.0,0.5,0.9,,5.1,50020.0,High school diploma or equivalent,,Short-term on-the-job training,Protective Service
        School bus monitors,33-9094,Line item,70.1,68.4,0.0,0.0,-1.7,-2.4,,11.6,33130.0,High school diploma or equivalent,,Short-term on-the-job training,Protective Service
"        Protective service workers, all other",33-9099,Line item,83.5,86.3,0.0,0.0,2.8,3.3,,24.8,39360.0,High school diploma or equivalent,,Short-term on-the-job training,Protective Service
      Chefs and head cooks,35-1011,Line item,187.1,202.6,0.1,0.1,15.5,8.3,4.4,24.6,58920.0,High school diploma or equivalent,5 years or more,,Food Preparation and Serving
      First-line supervisors of food preparation and serving workers,35-1012,Line item,1211.4,1288.2,0.7,0.7,76.8,6.3,1.1,186.9,38520.0,High school diploma or equivalent,Less than 5 years,,Food Preparation and Serving
"        Cooks, fast food",35-2011,Line item,682.2,588.5,0.4,0.3,-93.7,-13.7,,85.9,29260.0,No formal educational credential,,Short-term on-the-job training,Food Preparation and Serving
